Crop_id,Irrigation_flag,January,February,March,April,May,June,July,August,September,October,November,December
1,1,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100
2,1,0.750,0.750,0.960,1.090,1.090,1.090,1.090,1.090,1.090,0.750,0.750,0.750
3,1,0.950,0.960,1.000,1.030,1.060,1.070,1.070,1.070,1.070,1.070,1.050,0.800
4,0,0.175,0.175,0.530,0.670,0.800,0.840,0.840,0.840,0.840,0.810,0.550,0.175
5,0,1.000,1.000,1.000,1.000,1.000,1.000,1.080,1.130,1.100,1.100,1.100,1.100
6,0,0.175,0.175,0.175,0.175,0.430,0.960,1.120,1.100,0.350,0.175,0.175,0.175
7,0,0.175,0.175,0.175,0.175,0.175,0.180,0.470,0.940,1.160,1.160,0.710,0.175
8,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
9,0,2.580,2.000,1.090,0.350,0.700,0.950,1.080,1.000,0.250,0.390,0.570,2.570
10,0,0.620,0.650,0.650,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.640
11,0,0.300,0.300,0.300,0.300,0.630,1.050,1.090,1.050,1.000,0.300,0.300,0.290
12,0,0.175,0.175,0.270,0.470,0.700,0.800,0.800,0.800,0.800,0.770,0.750,0.380
13,0,0.600,0.750,0.960,1.090,1.090,1.090,1.090,1.090,1.090,0.750,0.270,0.270
14,0,0.960,1.200,1.200,1.200,0.175,0.175,0.175,0.175,0.175,0.175,0.230,0.350
15,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
16,0,0.280,0.520,0.590,0.720,0.850,1.075,1.075,1.075,1.075,0.830,0.225,0.225
17,0,0.150,0.150,0.150,0.950,1.140,1.250,1.240,1.030,0.150,0.150,0.150,0.150
18,0,0.870,0.540,0.400,0.200,0.360,0.690,0.930,1.180,1.010,0.290,0.175,0.870
19,0,0.500,0.500,0.500,0.410,0.650,0.960,1.050,1.050,1.050,0.890,0.500,0.500
20,0,0.375,0.375,0.375,0.190,0.430,0.820,1.130,1.140,1.140,0.820,0.375,0.375
21,0,0.175,0.175,0.175,0.175,0.175,0.200,0.500,0.910,1.170,1.170,1.050,0.175
22,0,0.250,0.250,0.250,0.330,0.650,1.000,1.085,1.030,0.750,0.345,0.450,0.250
