,ssebop
2000-01-01,0.023049
2000-02-01,0.065408
2000-03-01,0.189891
2000-04-01,0.16375699999999999
2000-05-01,0.20892999999999998
2000-06-01,0.347761
2000-07-01,0.5933769999999999
2000-08-01,0.48773299999999997
2000-09-01,0.28318899999999997
2000-10-01,0.045183
2000-11-01,0.007167
2000-12-01,0.012818
2001-01-01,0.0060609999999999995
2001-02-01,0.017589
2001-03-01,0.099844
2001-04-01,0.179474
2001-05-01,0.086142
2001-06-01,0.426011
2001-07-01,0.549522
2001-08-01,0.43104499999999996
2001-09-01,0.262416
2001-10-01,0.034524
2001-11-01,0.024328
2001-12-01,0.008761999999999999
2002-01-01,0.003849
2002-02-01,0.033926
2002-03-01,0.04491
2002-04-01,0.102036
2002-05-01,0.306409
2002-06-01,0.416634
2002-07-01,0.524235
2002-08-01,0.46736
2002-09-01,0.22319
2002-10-01,0.047063999999999995
2002-11-01,0.051008
2002-12-01,0.0042439999999999995
2003-01-01,0.034723
2003-02-01,0.038717
2003-03-01,0.132973
2003-04-01,0.16769
2003-05-01,0.268389
2003-06-01,0.414414
2003-07-01,0.522778
2003-08-01,0.547729
2003-09-01,0.25149699999999997
2003-10-01,0.027611
2003-11-01,0.0040539999999999994
2003-12-01,0.005306
2004-01-01,0.002793
2004-02-01,0.018229
2004-03-01,0.100174
2004-04-01,0.068906
2004-05-01,0.259548
2004-06-01,0.473252
2004-07-01,0.53261
2004-08-01,0.48551099999999997
2004-09-01,0.23766199999999998
2004-10-01,0.054376999999999995
2004-11-01,0.058032
2004-12-01,0.042217
2005-01-01,0.013675
2005-02-01,0.071952
2005-03-01,0.247744
2005-04-01,0.276685
2005-05-01,0.38001999999999997
2005-06-01,0.509201
2005-07-01,0.5571659999999999
2005-08-01,0.417983
2005-09-01,0.29978899999999997
2005-10-01,0.043836
2005-11-01,0.00363
2005-12-01,0.025523
2006-01-01,0.010627
2006-02-01,0.037535
2006-03-01,0.12455899999999999
2006-04-01,0.301516
2006-05-01,0.30954499999999996
2006-06-01,0.440187
2006-07-01,0.530505
2006-08-01,0.461891
2006-09-01,0.26986699999999997
2006-10-01,0.09328299999999999
2006-11-01,0.004961999999999999
2006-12-01,0.013052
2007-01-01,0.016045
2007-02-01,0.02191
2007-03-01,0.081998
2007-04-01,0.127825
2007-05-01,0.269119
2007-06-01,0.37031
2007-07-01,0.49943899999999997
2007-08-01,0.408309
2007-09-01,0.328227
2007-10-01,0.045207
2007-11-01,0.015965
2007-12-01,0.039811
2008-01-01,0.003124
2008-02-01,0.044825
2008-03-01,0.13405699999999998
2008-04-01,0.131196
2008-05-01,0.30372299999999997
2008-06-01,0.367071
2008-07-01,0.46741299999999997
2008-08-01,0.373735
2008-09-01,0.232094
2008-10-01,0.039820999999999995
2008-11-01,0.04849
2008-12-01,0.058515
2009-01-01,0.019201
2009-02-01,0.018579
2009-03-01,0.134176
2009-04-01,0.130858
2009-05-01,0.21945699999999999
2009-06-01,0.35108999999999996
2009-07-01,0.406055
2009-08-01,0.46598799999999996
2009-09-01,0.185112
2009-10-01,0.062818
2009-11-01,0.009353
2009-12-01,0.024463
2010-01-01,0.004162
2010-02-01,0.07513
2010-03-01,0.215212
2010-04-01,0.317393
2010-05-01,0.380137
2010-06-01,0.390918
2010-07-01,0.49921499999999996
2010-08-01,0.444486
2010-09-01,0.282804
2010-10-01,0.040626999999999996
2010-11-01,0.015923
2010-12-01,0.0026639999999999997
2011-01-01,0.039549
2011-02-01,0.07074
2011-03-01,0.157634
2011-04-01,0.219886
2011-05-01,0.284246
2011-06-01,0.449935
2011-07-01,0.561655
2011-08-01,0.49501599999999996
2011-09-01,0.305388
2011-10-01,0.055404999999999996
2011-11-01,0.038186
2011-12-01,0.026063
2012-01-01,0.008987
2012-02-01,0.019708
2012-03-01,0.09609
2012-04-01,0.181121
2012-05-01,0.320078
2012-06-01,0.366023
2012-07-01,0.502729
2012-08-01,0.406119
2012-09-01,0.198312
2012-10-01,0.036667
2012-11-01,0.005778999999999999
2012-12-01,0.013517
2013-01-01,0.019143
2013-02-01,0.038924
2013-03-01,0.11719099999999999
2013-04-01,0.091415
2013-05-01,0.241337
2013-06-01,0.33979899999999996
2013-07-01,0.376791
2013-08-01,0.41847199999999996
2013-09-01,0.252058
2013-10-01,0.044119
2013-11-01,0.014492999999999999
2013-12-01,0.017679
2014-01-01,0.002031
2014-02-01,0.003822
2014-03-01,0.079234
2014-04-01,0.148009
2014-05-01,0.23601899999999998
2014-06-01,0.266771
2014-07-01,0.477452
2014-08-01,0.321639
2014-09-01,0.162943
2014-10-01,0.011951999999999999
2014-11-01,0.044083
2014-12-01,0.02221
2015-01-01,0.038027
2015-02-01,0.030202
2015-03-01,0.096896
2015-04-01,0.087736
2015-05-01,0.242773
2015-06-01,0.23668
2015-07-01,0.46784299999999995
2015-08-01,0.354079
2015-09-01,0.181005
2015-10-01,0.051807
2015-11-01,0.036008
2015-12-01,0.016062
2016-01-01,0.010386
2016-02-01,0.031446
2016-03-01,0.137076
2016-04-01,0.17883
2016-05-01,0.26847699999999997
2016-06-01,0.29273899999999997
2016-07-01,0.426236
2016-08-01,0.322781
2016-09-01,0.234117
2016-10-01,0.034506999999999996
2016-11-01,0.002486
2016-12-01,0.005842
2017-01-01,7.099999999999999e-05
2017-02-01,0.025256999999999998
2017-03-01,0.18517599999999998
2017-04-01,0.226293
2017-05-01,0.272051
2017-06-01,0.39785699999999996
2017-07-01,0.535615
2017-08-01,0.427892
2017-09-01,0.293014
2017-10-01,0.083191
2017-11-01,0.000186
2017-12-01,0.002082
2018-01-01,0.008281
2018-02-01,0.007958999999999999
2018-03-01,0.12181299999999999
2018-04-01,0.14285399999999998
2018-05-01,0.353381
2018-06-01,0.354519
2018-07-01,0.45033799999999996
2018-08-01,0.395484
2018-09-01,0.249377
2018-10-01,0.044101
2018-11-01,0.0037099999999999998
2018-12-01,0.00331
2019-01-01,0.016166
2019-02-01,0.0034449999999999997
2019-03-01,0.137673
2019-04-01,0.12436599999999999
2019-05-01,0.424133
2019-06-01,0.39247699999999996
2019-07-01,0.558093
2019-08-01,0.518927
2019-09-01,0.29092599999999996
2019-10-01,0.081439
2019-11-01,0.000727
2019-12-01,0.000101
2020-01-01,0.001294
2020-02-01,0.044322
2020-03-01,0.156794
2020-04-01,0.268061
2020-05-01,0.288082
2020-06-01,0.396078
2020-07-01,0.430066
2020-08-01,0.449937
2020-09-01,0.356697
2020-10-01,0.051487
2020-11-01,0.0009069999999999999
2020-12-01,0.003555
2021-01-01,0.00020099999999999998
2021-02-01,0.029044999999999998
2021-03-01,0.101836
2021-04-01,0.069259
2021-05-01,0.218383
2021-06-01,0.228266
2021-07-01,0.34829899999999997
2021-08-01,0.369317
2021-09-01,0.24712699999999999
2021-10-01,0.11225399999999999
2021-11-01,0.010404
2021-12-01,0.000512
